t_s,arrival_rate,admitted_rate,deferred_rate,service_rate,depth,depth_critical,depth_deferrable,oldest_age_s,oldest_age_critical_s,oldest_age_deferrable_s,downstream_in_flight,downstream_response_ms,downstream_saturated
0.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
1.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
2.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
3.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
4.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
5.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
6.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
7.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
8.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
9.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
10.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
11.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
12.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
13.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
14.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
15.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
16.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
17.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
18.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
19.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
20.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
21.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
22.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
23.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
24.0,5000,5000.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,30,5.0,False
